Chromatogram	Year	Growth	Variety	2-Methylcitrate	2-Phospho-D-glycerate	4-Aminobutanoate	Adenosine	Citrate	D-Gluconic acid	D-Glucono-1,5-lactone	Ethanolamine	Fructose	Fumarate	Glucose	Glycine	Inositol 1-phosphate	L-Alanine	L-Arginine	L-Asparagine	L-Aspartate	L-Citrulline	L-Isoleucine	L-Leucine	L-Methionine	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophan	L-Valine	Lysine	Malate	Pantothenate	Ribitol	Succinate	Sucrose	alpha,alpha-Trehalose	beta-Alanine	myo-Inositol	trans-4-Hydroxy-L-proline
2007_CCP2_M_131_3	y2007	conventional	CCP	0.0173008125097046928	0.0299385944506317163	0.0498127035305238671	0.199725491910138359	0.39170641415539669	0.116519000324511125	0.690353605362472057	0.13783376060443917	1.3172056882656187	0.706738297967905409	0.492307995676222058	0.383900309137751309	0.218989677052326872	0.29521963915143949	0.116886402577786611	0.0659737957498392682	3.98983512578894583	0.129672593310677131	0.133929885430472558	0.167925864370926698	0.033612781516415356	0.0941444828061829898	0.407396448313302456	0.278588805134944728	0.0590648893381550259	7.92247939343759054	0.227097535644762777	0.345143073410335234	2.15424394398295603	0.0409833676068685245	6.0975609756097561	0.0602569311316977455	162.458489575515375	8.88107284095749959	0.0434934834940027866	0.641894021460670802	0.655428508408472611
2007_CCP2_M_131_4	y2007	conventional	CCP	0.0168447847158724416	0.0468117956537296263	0.0567670200350778032	0.174542367862038433	0.497813689177033638	0.0815056586464122771	0.707900562316447956	0.131729107816103609	1.36400341554726798	0.703858484349024224	0.401301109296352751	0.387566000868511881	0.147801407216544817	0.31397737694211229	0.120688613615083287	0.0630621801725092999	4.04056494874022309	0.137975713523733061	0.13600690970885662	0.180816226701234194	0.0349723461416763113	0.0961598554422479723	0.437147905056044589	0.28309942225029159	0.0603774334588420705	6.22273149449578722	0.2170835664738889	0.349440122824789248	2.10303425896331435	0.0229651489060165789	6.06060606060606061	0.0630159751506009029	157.282154420696366	7.591026965010363	0.0435337451333199976	0.60220132769002738	0.633605706377217985
2007_CCP2_M_211_3	y2007	conventional	CCP	0.0155307255606711588	0.0443835773617533371	0.0426884438277364534	0.183478103283328619	0.631974196209591159	0.117238737601684181	0.603894518783552463	0.12632068743811452	1.12896475842125372	0.69179568275191299	0.392153384570244276	0.343171407694946222	0.175734330124831381	0.239384460690051135	0.14324821721285457	0.0676557968246572755	4.21457693724641641	0.174145308632459836	0.11627600508064658	0.147458003533309139	0.0220619343864765555	0.0874973557335073235	0.460494857654459438	0.219722203274005144	0.0469806632497555994	7.94239286764675537	0.193985981163873706	0.298957255048850955	1.84640232739901918	0.0319190846035187839	5.7471264367816092	0.0631112130840233802	144.055581951369104	6.90855590843102342	0.0308827827552783883	0.625998492785573472	0.646738458538664186
2007_CCP2_M_251_3	y2007	conventional	CCP	0.0182860863576868352	0.0524868385161241391	0.050288200994978917	0.234764071510084005	0.546565960801576585	0.12338589145815637	0.637257186316764663	0.16877336950984354	1.22960000788415733	0.737849199094350445	0.455489077873852626	0.420802085159867553	0.170195547741812335	0.334779726912633412	0.159089714111725469	0.0884400789811124877	4.79142330413341716	0.162287087250431414	0.128565834625611629	0.172460176319748426	0.0304837881451602473	0.101289353756738748	0.474011986975667981	0.304458610270368934	0.0591047480984900947	7.50548220039057712	0.23610713143202934	0.364369974861407627	2.28830801402391913	0.0425266238235518635	6.06060606060606061	0.0623468248563124345	179.419127151423647	8.74332026925944181	0.0411938528298158579	0.66384448639092646	0.768245531349731396
2007_CCP2_M_251_4	y2007	conventional	CCP	0.0199582888899961477	0.0569450043034430043	0.0507099778300413421	0.232180404691968791	0.597862283321345545	0.14127245753319265	0.681714422151893999	0.166487343969276165	1.34555200530958052	0.735822796228435165	0.483892773126290721	0.404136406946776223	0.221442774412724735	0.329084704046658977	0.1667509366549958	0.0939935919550169776	4.57192308825827958	0.200117024303628723	0.134468545494983855	0.176361305609458141	0.0278674255654345348	0.0994381793972220775	0.526946019109856078	0.316948422159779742	0.0582987349710680838	6.66402704442648081	0.226924146171843764	0.428265732251445887	2.21338049292957796	0.0377046028887025806	6.02409638554216867	0.0596004251534739172	166.603647673221934	8.09606067393052167	0.043337010714044243	0.651044438468772832	0.763014373537944181
2007_CCP2_M_315_3	y2007	conventional	CCP	0.0212700501137456322	0.0526977737244241819	0.0437799156653055142	0.270384530358694245	0.696460084448249148	0.137047246191578799	0.605352837215067796	0.149544328999383303	1.17333728402703979	0.761041964088132575	0.367125882982051145	0.379757934517639358	0.223898820003636177	0.26380053694919767	0.138715897403399884	0.0631868136870833747	4.99726281669108979	0.189206458214111443	0.120351249784388552	0.141700092452732241	0.027974858773625895	0.0867783259187088133	0.429534109499995195	0.228366649673622329	0.0491411653571507514	8.88830297188893633	0.200534055234687371	0.28438888555353196	2.19443976513944891	0.0414867605022257508	5.91715976331360947	0.0712782253957513056	158.307642028704097	7.67569445726525765	0.0354117086305773701	0.634164064364538257	0.659692852054308899
2007_CCP2_M_315_4	y2007	conventional	CCP	0.0181228859521591524	0.0445050835886804331	0.0427166634577242589	0.238689958131836441	0.659494583876972901	0.138632224260575734	0.614072656334292212	0.149900299898714275	1.27315571496540751	0.807656875487348558	0.414612199608094152	0.376855101238363793	0.20905345314484371	0.222919967772868144	0.133397794602119441	0.0887731972232878621	4.94692114628377797	0.0823000765748001793	0.132517302044836608	0.13614644030674336	0.0317716351375839374	0.0849679604499245431	0.376894024667867825	0.236742071968110445	0.0481676582768131158	7.5862808348669316	0.183326437993498224	0.336268766803362402	2.17473259675090304	0.0388140323761746401	6.13496932515337423	0.0745349381231720582	173.005358764123925	7.45714215509058593	0.0348683626126624135	0.662691792099581609	0.620602704641790197
2007_Caphorn_M152_3	y2007	conventional	Caphorn	0.0172220388058432545	0.0276150544532662391	0.0651817179096688252	0.219877946284060626	0.774071024271025205	0.156742436793742674	0.884756683994151977	0.163923838581011158	1.26568544864488185	1.71834322377291018	0.420206201939283073	0.410566478177327786	0.246789105041070164	0.479865023833157281	0.179364742703792782	0.122815296045892175	7.30538507343949856	0.0889229049427773192	0.170655792483888888	0.217153689011644852	0.0334618975703980898	0.12778133618447678	0.632926008594947836	0.446994444597558272	0.0882997088347083514	12.3688442615111717	0.262390833965934103	0.400878506974747804	2.82232708797698257	0.0372671272625242758	6.71140939597315436	0.0858761365047571903	221.818334855512802	10.1203627551484659	0.0389870910833653118	0.795846415285823983	0.695596562094959954
2007_Caphorn_M152_4	y2007	conventional	Caphorn	0.017120490343467543	0.0264310069234697534	0.0587292673634190482	0.205713097544539481	0.730117890633849061	0.166108063640681542	0.844077383580870663	0.142777304512585678	1.26896531894335767	1.55160751619212751	0.380435874035045132	0.379202306270854768	0.180506838673709359	0.45768510543150885	0.17674701947669011	0.108026449149785241	6.73062890567458086	0.0829863345749243335	0.167112557275135299	0.197317447259988985	0.0295088478840931319	0.120666764396062853	0.563577899497764052	0.399132709040269367	0.0748288165022436288	12.0333941854019731	0.248963056024674689	0.37363921361758429	2.55742553760198969	0.036978905196981564	6.0975609756097561	0.0852870874367533956	192.937781834001789	8.50117384258453346	0.0427858509561006876	0.693230519740529159	0.604941154817789746
2007_Caphorn_M186_3	y2007	conventional	Caphorn	0.0217938927471723652	0.0401730391111654056	0.0620248982321263087	0.270592302515239418	0.854624304356673023	0.219499042653133341	0.807979817303105442	0.194211651227079042	1.27173012973600497	1.75444920609254459	0.422800582464860433	0.499466088711082665	0.247112993536245776	0.581706027903302627	0.248037527922226598	0.173003277407063625	8.8681112878493487	0.124280783681016034	0.229139611788772501	0.257946264726503641	0.037858190032650409	0.165217632232657679	0.750184707800760931	0.525060584814430784	0.105703731919643945	18.1096887971586312	0.333179298917436398	0.500039311740769318	3.09704322778503717	0.049295423996270666	6.45161290322580645	0.0909085469087785869	221.760338121254318	12.5547489472838105	0.0560110333312972888	0.752402653496831453	0.74949408822617931
